Atletas,Jogos,Gols,Assistencias,Títulos,,,,AABR Society 2020,,,,,,,,,,,,,,,,,,,,,,,,
Leander,28,4,11,1,,,,GALÁTICOS,5 X 1,Confraria,"Pelé (2), Markin, Leal e Queiroz",****,,,,,,,,,,,,,,,,,,,,
Zaza,23,5,1,1,,,,,,,,,,,,,,,,,,,,,,,APROVEITAMENTO,,,,,
Gabriel Leal,22,12,8,1,,,,GALÁTICOS,4 x 3,Sambar & Love,"Kaká (2), João(2)",,,,,,,,,,,,,,,,TEMPORADAS,,V,E,D,TOTAL
JM,20,7,5,1,,,,,,,,,,,,,,,,,,,,,,,Society 2020,,7,4,1,"0,694444444444444"
Cowboy,19,1,3,1,,,,GALÁTICOS,2 x 2,Planeta,Markin e JM,,,,,,,,,,,,,,,,Society 2021,,13,1,4,"0,740740740740741"
João Carlos,18,22,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelé,16,4,2,1,,,,GALÁTICOS,4 x 4,Nove um,"Markin, Leal, Joaozin, Luizinho",,,,,,,,,,,,,,,,CURIOSIDADES,,,,,
Caio,16,13,6,1,,,,,,,,,,,,,,,,,,,,,,,Artilheiro,,Joãozin,19 gols,,
Martins,15,1,0,1,,,,GALÁTICOS,7 x 4,Irmandade,"Sandrinho (3), Caio, Avelar, Leal e Pelé",,,,,,,,,,,,,,,,Garçom,,Leander,11 assists,,
Lucas Salles,14,0,0,1,,,,,,,,,,,,,,,,,,,,,,,Maior Vitória,,Galáticos ,10 x 2,Traíras,
Sandrinho,14,18,10,1,,,,GALÁTICOS,5 x 7,Schumpeter,"Joaozin  (2), Caio (2) e Sandrinho",,,,,,,,,,,,,,,,Pior Derrota,,Galáticos ,1 x 4,Nove um,
João Marcelo,13,3,4,0,,,,,,,,,,,,,,,,,,,,,,,No de Gols,,133,68,66,
Markin,12,8,8,1,,,,GALÁTICOS,4 x 2,Meia Boca,"Pedrão, JM, Pelé e Leal",,,,,,,,,,,,,,,,Maior Sequência Invicta,,7 jogos,,,
Crema,12,7,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dias,11,4,3,1,,,,GALÁTICOS,3 x 3,Sparta,"Sandrinho (2), Paolo",,,,,,,,,,,,,,,,,,,,,
Luizinho,11,1,0,1,,,,Quartas de Final,,,,,,,,,,,,,,,,,,,,,,,,
Presida,30,0,0,1,,,,GALÁTICOS,1 x 1,Amarelão,Paolo,,,,,,,,,,,,,,,,,,,,,
Modesto,10,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avelar,10,1,0,1,,,,GALÁTICOS,3 x 2,Amarelão,"Sandrinho (2), Zaza",,,,,,,,,,,,,,,,,,,,,
Marcos Paolo,8,2,4,1,,,,Semi Final,,,,,,,,,,,,,,,,,,,,,,,,
Patrick,8,0,3,0,,,,GALÁTICOS,9 x 2,Nove um,"Leander, Sandrinho, JM (2), Joaozin (3), Pedrão (2)",,,,,,,,,,,,,,,,,,,,,
Rene,8,0,0,0,,,,Final,,,,,,,,,,,,,,,,,,,,,,,,
Igor Paro,6,0,0,0,,,,GALÁTICOS,3 x 2 ,Arrepestre,"Pedro Medeiros, Markin, Joaozin",,,,,,,,,,,,,,,,,,,,,
Thiago Maluco,6,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantarelle (GK),6,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisman,6,11,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaká,5,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro Paulo,5,0,3,1,,,,AABR Society 2021,,,,,,,,,,,,,,,,,,,,,,,,
