Atletas,Jogos,Gols,Assistencias,Títulos,,,,,
Wanderson (GK),17,0,2,1,,GALÁTICOS,4 X 2 ,Astória,Sandro(2) e Queiroz (2)
Guto,15,2,5,1,,GALÁTICOS,5 X 0,Confraria,"Leander, Leal, Crema, Sandroe Artur"
Pedro Medeiros,5,8,5,1,,GALÁTICOS,1 x 3,Voltaço,Leal
Sandrinho,8,7,6,1,,GALÁTICOS,2 x 3,Metralhas,Joãoe Tales
Cowboy,2,0,0,1,,GALÁTICOS,9 x 0,11Homens,"Leo (3), Joao (2), Artur (2), Leal "
João Marcelo,4,0,0,1,,GALÁTICOS,9 x 2,7 Mares,"Joaozin (3), Leo (2), Artur (2), Queiroz e Guto"
Leander,13,3,4,1,,GALÁTICOS,7 x 3,Boleiros Bomba,"Leo (3), Joao (2), Medeiros, Sandro"
Renatin,3,0,1,1,,GALÁTICOS,3 x 1,Metralhas,"Sandro, Medeiros e Artur"
Gabriel Leal,15,6,5,1,,,,,
Artur Vinicius,17,20,5,1,,,,,
Patrick,7,3,2,0,,,,,
Ernesto,1,0,0,1,,,,,
Tales,14,2,1,1,,,,,
João Carlos,9,9,7,1,,,,,
Caio,14,7,5,1,,,,,
Jow,12,1,4,1,,,,,
Queiroz,10,3,1,1,,,,,
Crema,1,1,0,0,,,,,
Mendigo,10,0,0,1,,,,,
Leo Assis,11,17,13,1,,,,,
Nandinho,5,0,0,1,,,,,
Afonso,5,3,5,0,,,,,
Pedro Meirelles,4,1,0,0,,,,,
Scheldon,4,3,3,0,,,,,
Eric,5,2,0,0,,,,,
Presida,18,0,0,1,,,,,
