Atletas,Jogos,Gols,Assists,Títulos,,,,,, ,,,
Cantarelle (GK),3,0,0,1,,,,,,1a fase,,,
Pelé,9,0,1,1,,,,,,GALÁTICOS,2 x 2,Camaroes,Sandroe Scheldon
Vencato,2,1,0,1,,,,,,GALÁTICOS,1 x 1,Cabo Verde,Silas
Leander,1,0,0,1,,,,,,GALÁTICOS,3 x 0,Marrocos,wo
Zaza,7,0,0,1,,,,,,GALÁTICOS,1 x 3,Senegal,Vencato
Rodrigo Bomfim,9,0,0,1,,,,,,GALÁTICOS,2 x 2,Africa do Sul,Lawall
Renatin,5,2,2,1,,,,,,GALÁTICOS,4 x 2,Nigéria,"Jow (2), Sandrinho e Italozin"
Patrick,7,1,0,1,,,,,,GALÁTICOS,8 x 1,Cabo Verde,"Jow (5), JM (2) e Scheldon"
Silas,5,1,1,1,,,,,,GALÁTICOS,7 x 1,Senegal,"Jow (5), Leozito, Scooby"
Igor,5,0,0,1,,,,,,GALÁTICOS,3 x 0,Marrocos,wo
Dias,9,0,3,1,,,,,,GALÁTICOS,3 x 0,Camarões,wo
Sandrinho,8,3,4,1,,,,,,GALÁTICOS,3 x 0,Africa do Sul,"Scooby (2), JM"
Leo Gordo,7,1,0,1,,,,,,GALÁTICOS,0 X 7,Nigeria,
Cowboy,7,0,0,1,,,,,,2a fase,,,
Kaká,2,0,2,1,,,,,,GALÁTICOS,3 x 0,Nigeria,"Lawall,  Afonso e JM"
Scheldon,5,6,2,1,,,,,,GALÁTICOS,10 x 1,Nigeria,"Junin (3), Scheldon (2), Italo, JM, Leo Gordo, Renatin e Jow"
Jow,11,13,4,1,,,,,,FINAL,,,
JM,10,5,1,1,,,,,,GALÁTICOS,5 x 0,Africa do Sul,"Lawall, Sandrin, Renatin, Scheldon e Patrick"
JFB,1,0,0,1,,,,,,,,,
Joao Victor,0,0,0,1,,,,,,,,,
Doideira,3,0,0,1,,,,,,,,,
Lawall,8,4,5,1,,,,,,,,,
Presida,15,0,1,1,,,,,,,,,
Junin guto,3,3,2,1,,,,,,,,,
Afonso,4,1,1,1,,,,,,,,,
Italo,5,2,7,1,,,,,,,,,
Ernesto,3,0,0,1,,,,,,,,,
Amauri,2,0,0,1,,,,,,,,,
Alexsander,3,0,0,1,,,,,,,,,
Leozito,6,1,1,1,,,,,,,,,
Brunão,5,0,0,1,,,,,,,,,
Scooby,5,3,3,1,,,,,,,,,
Galego,4,0,3,1,,,,,,,,,
